,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
549,O=c1cc(-c2cccc([N+](=O)[O-])c2)oc2ccc(Br)cc12,346.136,4.130700000000002,2,73.35,3,3,0,4
550,O=c1cc(C2CCNCC2)o[nH]1,168.196,0.4349000000000002,1,58.03,2,1,2,3
551,Cl.On1cc(C2CCNCC2)cn1,203.67299999999997,1.0091999999999997,1,50.08,2,1,2,4
552,COc1ccccc1-c1oc2ccc(C)cc2c(=O)c1O,282.29499999999996,3.482620000000003,2,59.67,3,3,1,4
553,CCOC(=O)c1cncn1C(C)c1ccc(C2(C(F)(F)F)N=N2)cc1,352.316,3.850000000000003,5,68.84,3,2,0,6
554,Oc1ccccc1,94.11299999999999,1.3921999999999999,0,20.23,1,1,1,1
555,CC(C)c1ccccc1O,136.19399999999996,2.5156000000000014,1,20.23,1,1,1,1
556,Cc1ccc2c(c1)Oc1sc(Cl)cc1C(N1CCN(CC(C)(C)C(=O)O)CC1)=N2,433.96100000000035,4.622320000000005,3,65.37,4,2,1,6
557,CCOC(=O)c1ncc2[nH]c3cccc(OC(C)C)c3c2c1C,312.3690000000001,3.988420000000003,4,64.21,3,3,1,4
558,CC1SC(=N)NC1CC(=O)O,174.22499999999997,0.4893699999999999,2,73.18,1,0,3,3
559,Nc1nc(CC(=O)O)cs1,158.18199999999996,0.35240000000000005,2,76.21,1,1,2,4
560,O=C(Nc1c(-c2cccs2)nc2c(Br)cc(Br)cn12)c1ccc(Cl)cc1,511.6260000000001,6.493500000000003,3,46.400000000000006,4,4,1,4
561,O=C(Nc1c(-c2cccs2)nc2ccccn12)c1ccc(Cl)cc1,353.83400000000006,4.968500000000002,3,46.400000000000006,4,4,1,4
562,N=C1NC(CC(=O)O)CS1,160.198,0.10087000000000018,2,73.18,1,0,3,3
563,CC(C(=O)O)C1CSC(=N)N1,174.22500000000002,0.34686999999999985,2,73.17999999999999,1,0,3,3
564,O=C(O)CC1CCNC1,129.159,0.07060000000000005,2,49.33,1,0,2,2
565,NC1=NC(CC(=O)O)CN1,143.146,-1.2524000000000002,2,87.71,1,0,3,4
566,COc1ccc(S(=O)(=O)Nc2c(C)cc(C)cc2C)cc1,305.39900000000006,3.421260000000002,4,55.400000000000006,2,2,1,3
567,NCC=CC(=O)O,101.10499999999999,-0.41409999999999997,2,63.32000000000001,0,0,2,2
568,Cl.O=C(O)C1=CCNCC1,163.60399999999996,0.4124999999999999,1,49.33,1,0,2,2
569,CNCc1ccc(NC(=O)c2c[nH]c3c2C(=O)CCC3)cc1.Cl,333.819,2.9272000000000014,4,73.99,3,2,3,3
570,Cc1ncsc1CCCl,161.65699999999998,2.2328200000000002,2,12.89,1,1,0,2
571,O=C1N=C(N2CCOCC2)CN1c1ccc(Cl)cc1,279.727,2.0107,1,45.14000000000001,3,1,0,3
572,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],400.48800000000017,-2.2651999999999957,8,172.6,0,0,2,8
573,C1CNCCN1.C1CNCCN1.C1CNCCN1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O,642.6600000000004,-4.959400000000011,10,336.44,3,0,14,14
574,COc1ccc(OC)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,395.43000000000006,5.188300000000005,7,48.0,3,3,0,4
575,NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,334.7780000000001,3.2876000000000025,6,75.68,2,2,2,3
576,CCOC(=O)c1cncn1C(C)c1ccccc1,244.294,2.669100000000001,4,44.12,2,2,0,4
577,CCOC(=O)c1cncn1C(C)c1ccccc1.Cl,280.755,3.0909000000000026,4,44.12,2,2,0,4
578,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O,283.30600000000004,2.74582,2,60.910000000000004,3,3,1,4
579,CC(C)=CCCC(C)(OC1OC(COC2OC(CO)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC12C,1079.2810000000002,-1.5634999999999817,16,357.06000000000006,8,0,14,22
580,NCCCC(=O)O,103.12099999999998,-0.19009999999999977,3,63.32000000000001,0,0,2,2
