,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
168,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)cc1,448.2970000000001,6.177600000000003,4,53.07,3,3,1,5
169,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,370.587,5.885600000000005,4,6.48,4,2,0,4
170,CC1CCc2nc3sc4ccccc4c3c(N)c2C1=O,282.36800000000005,3.796700000000002,0,55.98,4,3,1,4
171,O=c1[nH]oc(C2CCNCC2)c1Cc1ccccc1,258.32099999999997,2.0257,3,58.03,3,2,2,3
172,COc1cc2nc(C(=O)c3ccccc3)cn2c2cc(C)c(C)cc12,330.38700000000017,4.3439400000000035,3,43.599999999999994,4,4,0,4
173,COc1cc(CNC(=O)C(=O)c2c[nH]c3ccccc23)ccc1O,324.33600000000007,2.381200000000001,5,91.42,3,3,3,4
174,O=C(NCCc1ccccc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12,337.3350000000001,2.6177,6,105.1,3,3,2,4
175,CCCNC(=O)C1=CCC(N)C1,168.23999999999998,0.5601000000000002,3,55.120000000000005,1,0,2,2
176,CC12CCC3CC(CCO)CCC3C1CCC2C#N,261.40899999999993,3.7511800000000033,2,44.019999999999996,3,0,1,2
177,O=c1c(-c2ccsc2)c[nH]c2c(-c3cccc(Br)c3)cnn12,372.247,4.180600000000002,2,50.16,4,4,1,4
178,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(C#N)cc1,443.2810000000002,6.040680000000003,3,67.63,3,3,1,5
179,O=C(CNC(=O)c1ccc(F)cc1)NC(c1cccc(F)c1)c1cccc(F)c1,398.38400000000007,3.7395000000000023,6,58.2,3,3,2,2
180,CN(Cc1ccccc1)C1C2C3CC4C5C3CC2C5C41,265.4,3.264800000000002,3,3.24,6,1,0,1
181,CONC(=O)C1=CCC(N)C1,156.18499999999995,-0.2885000000000002,2,64.35,1,0,2,3
182,O=C(OCc1ccccc1)c1cn2c(n1)sc1ccccc12,308.362,3.9060000000000024,3,43.6,4,4,0,5
183,CN1CCN(c2nn3c(-c4ccccc4)nnc3c3ccccc23)CC1,344.42200000000014,2.696300000000001,2,49.56,5,4,0,6
184,O=c1c(-c2ccsc2)c[nH]c2c(-c3cccc4ccccc34)cnn12,343.41100000000006,4.571300000000003,2,50.16,5,5,1,4
185,O=C(O)c1cc(=O)c2ccccc2[nH]1,189.17000000000002,1.2262999999999997,1,70.16,2,2,2,2
186,CSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CSCC2,341.4610000000002,3.4715000000000016,3,47.260000000000005,4,3,0,6
187,CC(C)[PH](=O)(=O)C1=CCC(N)C1,189.19499999999996,1.8407,2,60.16,1,0,1,3
188,COc1cc(CNC2C3C4CC5C6C4CC3C6C52)cc(OC)c1OC,341.45100000000014,2.9484000000000012,6,39.72,6,1,1,4
189,NC1CC=C([PH](=O)(=O)Cc2ccccc2)C1,237.239,2.632500000000001,3,60.160000000000004,2,1,1,3
190,CCSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2,323.4210000000002,3.5610000000000026,4,47.260000000000005,4,3,0,5
191,Cc1ccc(C(CN)CC(=O)O)o1,183.20700000000002,1.10502,4,76.46000000000001,1,1,2,3
192,CC(C)c1cc(NS(C)(=O)=O)cc(C(C)C)c1O,271.38199999999995,3.0105000000000017,4,66.4,1,1,2,3
