Code,Number of H-Donors,Number of H-Acceptors,Number of Rotatable bonds,CLogP,Number of Rings,PSA,ID,ROMol,Saltdata,SMILES
P6245996,2,4,2,1.40E+00,4,1.03E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934564B0>,,Cc1csc2ncc(C(=O)Nc3ccc4cc[nH]c4c3)c(=O)n12
P6246190,2,5,3,-3.00E-01,3,1.16E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456510>,,CC(=O)Nc1cccc(NC(=O)c2cnc3sccn3c2=O)c1
P6246903,2,3,5,3.80E+00,4,7.56E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456570>,,Cc1nn(C)c2nc(C(C)C)cc(C(=O)NCCc3c[nH]c4ccccc34)c12
P6247601,1,5,5,3.50E+00,4,9.00E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934565D0>,,Cc1cc(C)n(-c2ccc3nnc(CCC(=O)NC4CCCCCCC4)n3n2)n1
P6247619,1,6,5,2.00E+00,5,8.83E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456630>,,O=C(NCc1cccnc1)C1CCN(c2ccc3nnc(-c4ccccc4)n3n2)CC1
P6248222,1,6,7,1.50E+00,4,9.81E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456690>,,COc1ccc2cnn(CC(=O)NCCn3cnc4ccccc43)c(=O)c2c1OC
P6248243,2,3,5,2.00E+00,2,9.93E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934566F0>,,Cc1csc(NC(=O)CCC(=O)Nc2ccc(Br)cc2)n1
P6248330,3,4,4,1.20E+00,4,1.07E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456750>,,O=C(NCCn1c(=O)c(=O)[nH]c2ccccc21)c1n[nH]c2ccccc12
P6248839,3,5,4,1.40E+00,4,1.24E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934567B0>,,CN1C(=O)c2cccc3c(S(=O)(=O)NNC(=O)c4ccc(O)cc4)ccc1c23
P6248918,1,5,8,4.40E+00,3,9.23E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456810>,,CCCCN(c1ccccc1C(=O)O)S(=O)(=O)c1ccc(OC)c2ccccc12
P6248941,2,5,6,2.90E+00,4,1.12E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456870>,,CCCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc(C(=O)O)c4)ccc1c23
P6327417,1,4,4,2.50E+00,3,7.27E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934568D0>,,Cc1ccccc1-n1nnc(C(=O)NCc2ccccn2)c1C
P6327919,0,4,4,4.60E+00,5,6.96E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456930>,,Cc1ccc(-n2nnc(-c3nnc(-c4ccccc4)o3)c2C2CC2)cc1
P6328469,0,3,3,4.10E+00,4,6.50E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456990>,,Cc1oc(-c2ccc(Cl)cc2)cc1-c1nnc(-c2ccccn2)o1
P6328473,0,3,3,3.60E+00,4,6.50E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934569F0>,,Cc1oc(-c2ccc(Cl)cc2)cc1-c1nnc(-c2cccnc2)o1
P6328477,0,3,3,3.90E+00,4,6.50E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456A50>,,Brc1ccc(-c2ccc(-c3nnc(-c4ccncc4)o3)o2)cc1
P6328479,0,5,6,4.00E+00,4,7.89E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456AB0>,,COCc1c(-c2nnc(Cc3ccc(Cl)cc3)o2)nnn1-c1ccc(F)cc1
P6328520,0,6,6,2.90E+00,4,9.18E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456B10>,,COCc1c(-c2nnc(-c3cccnc3)o2)nnn1-c1cccc(C(F)(F)F)c1
P6328544,0,6,5,3.00E+00,4,1.08E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456B70>,,c1ccc(-c2noc(CSc3nnnn3-c3ccccc3)n2)cc1
P6465710,1,4,6,3.70E+00,4,9.04E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456BD0>,,COc1cccc2cc(C(=O)NCCc3nc(-c4ccc(Cl)cc4)no3)oc12
P6466468,1,3,1,3.10E+00,3,4.65E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456C30>,,O=c1cc(-c2cccc(F)c2)oc2cc(O)ccc12
P6665760,2,4,5,1.90E+00,4,7.38E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456C90>,,O=C(Cc1n[nH]c(=O)c2ccccc12)NC1CCN(Cc2ccccc2)CC1
P6665768,3,5,5,9.00E-01,3,1.09E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456CF0>,,COc1ccc(NC(C)=O)cc1NC(=O)Cc1n[nH]c(=O)c2ccccc12
P6665772,2,4,4,2.70E+00,4,1.40E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456D50>,,O=C(Cc1n[nH]c(=O)c2ccccc12)Nc1nc(-c2cccs2)cs1
P6666115,1,5,5,3.00E+00,4,1.09E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456DB0>,,COc1cccc(C2C(C(=O)Nc3nc4ccc(C)cc4s3)CC(=O)N2C)c1OC
P6666383,1,5,9,2.90E+00,3,1.17E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456E10>,,CCOC(=O)Cc1csc(NC(=O)c2cn(CCC(C)C)c(=O)c3ccccc23)n1
P6667138,2,5,4,1.10E+00,4,1.06E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456E70>,,Cc1nn(C)c(C)c1-c1cc(C(=O)NCc2nnc3ccccn23)n[nH]1
P6667162,2,4,6,3.00E+00,3,1.01E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456ED0>,,Cc1nn(C)c(C)c1-c1cc(C(=O)NCCSc2ccccc2)n[nH]1
P6667585,2,5,6,1.50E+00,4,1.01E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456F30>,,O=C(NCCc1nc2ccccc2[nH]1)C(c1ccccc1)n1cnnn1
P6667605,0,4,2,2.20E+00,4,5.60E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393456F90>,,c1cc(-c2ccnc3nc(C4CCC4)nn23)ccn1
P6667652,0,3,2,3.00E+00,4,7.13E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393463030>,,c1cc(-c2ccsc2)n2nc(C3CCC3)nc2n1
P6667666,1,3,5,3.70E+00,4,8.75E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393463090>,,O=C(NCCCc1nnc2ccccn12)c1cc2ccc(Cl)cc2s1
P6667764,2,5,6,3.20E+00,4,9.41E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934630F0>,,COc1ccc(-c2cc(C(=O)NCc3nc4ccccc4n3C)n[nH]2)cc1OC
P6668088,0,5,4,3.80E+00,4,6.15E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393463150>,,COc1cccc(-c2ccnc3nc(-c4ccccc4OC)nn23)c1
P6668094,0,3,2,3.80E+00,5,6.94E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3934631B0>,,c1coc(-c2nc3nccc(-c4cc5ccccc5o4)n3n2)c1
P6668111,0,4,4,4.40E+00,4,5.23E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393463210>,,COc1ccc(-c2ccnc3nc(Cc4cc(F)cc(F)c4)nn23)c(F)c1
P6668174,0,3,3,4.80E+00,5,5.62E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B393463270>,,Fc1cc(F)cc(Cc2nc3nccc(-c4cc5ccccc5o4)n3n2)c1
