Molecule ChEMBL ID,SMILES
CHEMBL309267,CC(C)(C)C(=O)Oc1ccc2c(c1)[nH]c1c3c4ccccc4nc-3c[nH]c12
CHEMBL20049,COc1ccc(C(=O)c2cn3c(cc(OC)c4ccccc43)n2)cc1
CHEMBL158669,CC(=O)C[C@@]1(C)CCC2C(CC[C@H]3C[C@H](O)CC[C@]23C)C1
CHEMBL450283,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Br)cc(Br)cn12
CHEMBL35571,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCCCOC(=O)c3ncn4c3CN(C)C(=O)c3cc(C#C)ccc3-4)ncn1-2
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
CHEMBL73581,O=C(NCc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12
CHEMBL4564312,O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)[C@@H](C1CC1)N2S(=O)(=O)c1ccc(F)cc1
CHEMBL309663,Clc1ccc2nnc3c(-c4cccs4)cnn3c2c1
CHEMBL71119,[O-][n+]1nc2c(-c3cnoc3)cnn2c2cc(Cl)ccc21
CHEMBL4526351,Cc1cc(NC(=O)c2cccc(S(F)(F)(F)(F)F)c2)cc(-n2ccn3nc(-c4cccnc4)cc23)c1
CHEMBL3582478,CC(C)(O)c1cncc(-c2nc3ccc(F)cc3n2C2CC2)c1
CHEMBL4587626,C[C@H](c1ccc(F)cc1)N(Cc1ccc(Cl)c(C(=O)O)c1)C(=O)c1cnc2ccccc2c1
CHEMBL446689,C[C@]12CCC3C[C@H](CCO)CCC3C1CCC2=O
CHEMBL10483,CCOC(=O)c1[nH]cc2nc3ccc(OC)cc3c-2c1COC
CHEMBL4535474,CNCc1ccccc1-c1csc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1
CHEMBL4593677,CC1=C(C#N)C(c2ccc3[nH]nc(C)c3c2)C(C#N)=C(C)N1
